PMR,word_count,word_length,similarity_threshold,Fail %
swap_word,10,3,0.6,54.7%
swap_word,10,3,0.7,54.7%
swap_word,5,3,0.6,43.5%
swap_word,5,3,0.7,42.7%
swap_word,3,3,0.6,34.7%
swap_word,3,3,0.7,33.8%
swap_word,2,3,0.7,29.9%
swap_word,2,3,0.6,28.6%
swap_word,1,3,0.7,22.1%
swap_word,1,3,0.6,22.0%
